Title,Company,Description,Published At,Salary,Location
Support Specialist,Devoteam,"At Devoteam, we believe that technology with strong human values can actively drive change for the better. Discover how Tech for People unlocks the future, creating a positive impact on the people and the world around us. We are a global leading player in Digital Transformation for leading organizations across EMEA, with a revenue of €1B. We believe in transforming technology to create value for our clients, partners and employees in a world where technology is developed for people. We are proud of the culture we have built together. We are proud of our people at the service of technology. We are proud of our diverse environment. Because we are #TechforPeople. Join our multidisciplinary team of Cloud experts, Designers, Business consultants, Security experts, Engineers, Developers and other extraordinary talents, spread across more than 20 EMEA countries. Become one of our +10.000 tech and business leaders on cloud, data and cyber security. Let’s fuse creativity with technology together and build innovative solutions that actively change things for the better.",2024-11-05 22:25:31,,"Torre Fernão de Magalhães
Avenida D. João II, nº 43, 9º
1990-084 Lisboa"
Senior Linux System Administrator,PTisp,Fundada em 2001 a PTisp é um hosting e solution provider de referência em Portugal. Operamos em 3 datacenter com suporte 24x7x365 e contamos com 11.000+ clientes.,2024-11-05 22:25:02,,"Rua José Dias Simão s/n, Parque de Ciência e Tecnologia, Edifício INOV.POINT, Alferrarede
2200-062 Abrantes"
Quality Tester (QA),Noesis Portugal,"Founded in 1995, we are an international tech consulting company certified by Great Place to Work and in second place in The Best Workplaces 23. We offer innovative solutions to support our clients in their digital transformation. We have over a thousand talents specialized in different technologies, with offices in Portugal, Spain, the Netherlands, Brazil, Ireland, and the USA. Over the years, we have grown and expanded, always staying true to our core values of excellence, innovation, and customer satisfaction. Today, we are a leading player in our industry, with a reputation for delivering cutting-edge solutions that exceed our client's expectations.",2024-11-05 22:24:49,,"Centro Empresarial Torres de Lisboa
Rua Tomás da Fonseca
Torre E - 14ºPiso
1600-209 Lisboa"
Junior Android Developer,Dellent,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro do seus interesses, motivações e expectativas.",2024-11-05 22:24:28,,"AVEIRO:
Creative Science Park                
Via do Conhecimento                  
3830-352 Ílhavo

LISBOA:
Avenida António Serpa, 32, 5A
Avenidas Novas
1050-026 Lisboa
Portugal"
C Developer,Randstad Portugal,"Somos um parceiro de excelência de clientes e candidatos.
Porque é a interacção entre as pessoas que contribui para o desenvolvimento das empresas, para o seu sucesso e insucesso. E é aqui que nós actuamos com soluções, com expertise e com uma oferta que vai muito além da colocação de pessoas.
Acrescentamos valor, conhecemos e reconhecemos os nossos clientes e candidatos e com ambos  vamos contribuindo para o desenvolvimento do nosso país e do mundo do trabalho.",2024-11-05 22:24:12,,"Avenida da República, Nº 26 
1069-228 Lisboa"
Técnico de Microinformática e Laboratório,Sermicro,"A Sermicro é uma empresa com mais de 30 anos de experiência. O mercado reconhece-nos como empresa de referência em serviços TIC, que combina qualidade e competitividade económica.",2024-11-05 22:24:07,,"Alameda António Sérgio, Nº 7, 1º - Sala E-2
2795-023 Linda-a-Velha, Lisboa"
Salesforce Consultant,Neotalent Conclusion,"Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. 

We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers.

With over 25 years of solid experience, Neotalent Conclusion has established its presence in key locations, including Lisbon, Porto, and Madrid. The company currently has more than 950 professionals in the different areas in which it operates.
Neotalent, the responsive people.

Find out more about us at www.neotalent.pt.",2024-11-05 22:23:52,,"Av. D. João II, nº34, Parque das Nações
1998-031 Lisboa"
React Developer,Red IT,"<​RED IT> is not a typical consultancy company. 
We’re born in Lisbon, focused on concepts of excellence and knowledge in Information Technology, providing services all around the world. 

We are wolves who inspires <​code/>. 

Our mission is to find people like Us to join the Pack.
We’re always hiring. 
Always looking for the Best Wolves. 

It’s totally about people!

We are...

- People who love to learn.
- People who love technology.
- People who like to do things right.
- People that are here to help you grow your business.

Our motto is... 
""​ If you want to go fast, go alone. If you want to go far, GO TOGETHER!""​

Curious?",2024-11-05 22:23:43,,"Alameda dos Oceanos 1 06 1.1D 3B
1990-207 Lisboa"
Operador Logístico - Informática,Novo Atalho,"Somos uma empresa jovem e dinâmica que se encontra no mercado desde 2002 visando o melhor para os nossos clientes, desde a qualidade dos produtos que comercializamos, até à sua assistência técnica.",2024-11-05 22:23:38,,"Rua Maurício Lourenço de Oliveira, 116
4405-034 Madalena - Vila Nova de Gaia"
IBM App Connect Tech Lead,YellowIpe,YellowIpe® is your IT professional services consultancy. We offer the best tailored solutions for the requirements and challenges of your technological project.,2024-11-05 22:23:32,,
